	qid	question	timestamp
0	0	What is considered a business expense on a business trip?	Nov 8 '11 at 15:14
1	1	Claiming business expenses for a business with no income	May 13 '14 at 13:17
2	2	Transferring money from One business checking to another business checking	Jan 20 '16 at 20:31
3	3	Having a separate bank account for business/investing, but not a “business account?”	Mar 1 at 0:24
4	4	Business Expense - Car Insurance Deductible For Accident That Occurred During a Business Trip	Mar 4 at 0:26
5	5	Starting a new online business	Jan 17 '16 at 20:45
6	6	“Business day” and “due date” for bills	Aug 6 '16 at 22:28
7	7	New business owner - How do taxes work for the business vs individual?	Aug 24 '15 at 6:15
8	8	How to deposit a cheque issued to an associate in my business into my business account?	Jun 29 '16 at 13:23
9	9	Hobby vs. Business	Mar 1 '16 at 0:29
10	11	Personal checks instead of business ones	Feb 5 '16 at 8:51
11	12	Does U.S. tax code call for small business owners to count business purchases as personal income?	Nov 2 '16 at 23:41
12	13	How can I register a UK business without providing a business address?	Jul 17 '14 at 19:27
13	14	What are 'business fundamentals'?	Apr 13 at 12:25
14	15	Can I send a money order from USPS as a business?	Nov 9 '16 at 0:56
15	16	Business Investment Loss from prior year	Mar 12 '16 at 22:26
16	17	Income tax exemptions for small business?	Nov 17 '15 at 21:30
17	18	1 EIN doing business under multiple business names	Mar 25 '15 at 20:12
18	19	How can I estimate business taxes / filing fees for a business that has $0 income?	Apr 24 '13 at 23:42
19	20	Would the purchase of a car for a business through the use of a business loan be considered a business expense?	Jul 22 '15 at 17:27
20	21	Deducting last years (undocumented) side business loss	Dec 23 '12 at 10:41
21	23	30% share in business	Dec 7 '16 at 8:03
22	25	Claiming business expense from personal credit card	Nov 13 '15 at 22:31
23	26	Applying for and receiving business credit	Dec 5 '15 at 21:17
24	27	Using business check to pay at retail	Jun 30 at 11:24
25	28	Tax whilst starting a business in full time employment	Aug 6 at 12:23
26	29	Do I need a business credit card?	Oct 20 '10 at 16:26
27	30	Can I pay off my credit card balance to free up available credit?	Jan 18 '16 at 5:52
28	31	Starting a side business slowly	Apr 13 at 12:25
29	32	Why is “cheque cashing” a legitimate business?	Aug 11 '15 at 5:01
30	33	Is business the only way to become a millionaire?	Jun 22 '13 at 4:19
31	34	401k Transfer After Business Closure	Jun 30 '15 at 4:48
32	35	Valuing a small business to invest in 	Jul 24 at 13:57
33	36	Starting a large business with a not so large income? 	Jun 22 at 6:11
34	37	Requirements for filing business taxes?	Feb 24 '14 at 16:19
35	38	Personal credit card for business expenses	Jun 26 '16 at 18:21
36	41	IRA for work and my business	Oct 20 '10 at 4:50
37	42	What are the ins/outs of writing equipment purchases off as business expenses in a home based business?	Oct 24 '12 at 15:55
38	43	Advice on money transfer business	May 11 at 3:08
39	44	Borrow money to invest in a business venture with equity?	Jun 20 at 2:54
40	45	How to transfer personal auto lease to business auto lease?	Jul 21 '11 at 20:39
41	46	Tutoring Business Payroll Management	Aug 9 at 4:12
42	47	As a small business owner, should I pay my taxes from my personal or business checking account?	Apr 27 at 4:22
43	48	Should my husband's business pay my business?	Jan 22 at 0:39
44	49	Why can't online transactions be completed outside of business hours?	Oct 15 '15 at 14:37
45	51	Full-time work + running small side business: Best business structure for taxes?	Aug 20 '10 at 12:18
46	52	New vending route business, not sure how to determine taxes	Jul 28 at 12:47
47	53	Finding a good small business CPA?	Jun 29 '10 at 18:42
48	54	Taxable income on full-time job + business earnings	Sep 19 '15 at 0:47
49	55	What's “wrong” with taking money from your own business?	Oct 25 '13 at 5:19
50	56	Can a entrepreneur hire a self-employed business owner?	Aug 21 at 21:22
51	57	How can I lookup the business associated with a FEIN?	Sep 18 '15 at 8:53
52	59	Tax Allocation - Business Asset Transfer	Aug 19 '15 at 23:48
53	60	Can Health-Releated Services be a Business Expense?	Sep 11 '14 at 4:19
54	61	How to Deduct Family Health Care Premiums Under Side Business	Jan 11 '13 at 18:22
55	62	Claiming car as a business expense in the UK	Jan 25 '15 at 21:41
56	63	Do I need to keep paper records for my business?	May 21 '13 at 19:45
57	64	1040 Schedule A Un-Reimbursed Business Expense Reporting	Nov 21 at 22:14
58	65	Why do banks require small businesses to open a business bank account instead of a cheaper personal one?	Apr 4 '14 at 16:19
59	66	How to treat miles driven to the mechanic, gas station, etc when calculating business use of car?	Jan 22 '15 at 20:03
60	67	value of guaranteeing a business loan	Feb 16 at 17:25
61	68	Intentions of Deductible Amount for Small Business	Dec 24 '16 at 22:44
62	69	Deducting business expenses paid for by gift card	Apr 13 at 12:25
63	70	Car as business expense, but not because of driving	Feb 20 '16 at 20:28
64	71	Can a business refuse to take credit cards?	Dec 30 '16 at 17:17
65	72	Calculate Estimated Tax on Hobby Business LLC	Feb 6 '16 at 20:54
66	74	Buying car from rental business without title	May 1 '15 at 5:45
67	75	Why should I choose a business checking account instead of a personal account?	Jan 20 at 6:11
68	76	How to report house used for 100% business?	Dec 19 '15 at 1:57
69	77	Can the IRS freeze a business Bank account?	Sep 24 '15 at 10:33
70	78	How to record business income tax paid, in QuickBooks?	Aug 10 '11 at 14:12
71	80	Get a loan with low interest rate on small business	May 23 at 21:08
72	81	Does revenue equal gross profit for info product business?	Dec 3 '13 at 5:37
73	82	Will unpaid taxes prevent me from getting a business license?	Dec 6 '13 at 4:14
74	83	Using cash back rewards from business credit card	Oct 28 '15 at 0:28
75	85	Moving my online only business to the USA?	Dec 21 '16 at 22:44
76	86	Moving a personal business to a LLC accounting in California	Nov 12 at 21:53
77	87	What should one look for when opening a business bank account?	Aug 20 '15 at 21:32
78	88	Which r in perpetuity formula to pricing a business?	Feb 24 '14 at 20:06
79	89	How can I deposit a check made out to my business into my personal account?	Aug 29 '12 at 20:34
80	90	Filing personal with 1099s versus business s-corp?	Jun 26 '13 at 5:02
81	91	US Double Taxation - Business Trips and the Foreign Tax Credit	Jun 20 '16 at 13:42
82	92	Can I use my Roth IRA to start a business?	Apr 28 '11 at 10:43
83	93	Really have to use business credit card for personal expenses 	Jul 26 at 8:43
84	94	Using credit card points to pay for tax deductible business expenses	Apr 13 at 12:25
85	95	Do Affordable Care Act business requirements apply to “control groups?”	Jul 19 '16 at 17:58
86	96	As a contractor, TurboTax Business-and-Home or Basic?	Apr 1 '13 at 4:34
87	97	Peer to peer lending business model (i.e. Lending Club)	Oct 21 '13 at 17:16
88	98	How can I make $250,000.00 from trading/investing/business within 5 years? 	Feb 14 at 22:32
89	99	In what cases can a business refuse to take cash?	Feb 13 at 23:46
90	102	Maintaining “Woman Owned Business” while taking on investor	Jan 27 at 17:46
91	104	Investing/business with other people's money: How does it work?	Mar 8 at 1:16
92	105	How to safely earn interest on business profits (UK) 	May 17 '16 at 11:08
93	106	What approaches are there for pricing a small business?	Mar 15 '13 at 12:26
94	107	Income tax on my online drop-shipping business (India)	May 23 '13 at 20:11
