	qid	docid
0	0	18850
1	1	14255
2	2	308938
3	3	296717
4	3	100764
5	3	314352
6	3	146317
7	4	196463
8	5	69306
9	6	560251
10	6	188530
11	6	564488
12	7	411063
13	8	566392
14	8	65404
15	9	509122
16	9	184698
17	11	596427
18	12	192516
19	12	338700
20	12	158738
21	13	503678
22	14	398960
23	15	325273
24	16	60590
25	17	146657
26	18	88124
27	19	315086
28	19	142623
29	20	447231
30	21	497642
31	23	550624
32	23	32102
33	25	107584
34	25	562777
35	26	285255
36	26	350819
37	27	537326
38	28	250640
39	29	274832
40	29	114494
41	29	189642
42	29	103662
43	30	551175
44	30	434082
45	30	336922
46	30	19233
47	31	156554
48	32	279480
49	32	69623
50	32	84645
51	33	519798
52	33	425387
53	34	599545
54	35	498681
55	35	80913
56	36	275249
57	36	368649
58	37	523564
59	38	85517
60	38	195207
61	38	357037
62	38	233751
63	41	176229
64	42	272709
65	42	327263
66	42	331981
67	43	76662
68	44	385881
69	45	284610
70	45	261220
71	46	91325
72	47	133299
73	48	108062
74	48	401260
75	48	329810
76	48	512151
77	49	352927
78	51	107817
79	51	257168
80	51	75195
81	52	566417
82	52	125111
83	53	84077
84	53	562798
85	53	102362
86	53	323269
87	53	119308
88	53	184852
89	53	119210
90	53	176196
91	54	590775
92	54	109546
93	54	511651
94	55	324854
95	55	579628
96	55	237207
97	56	572690
98	57	203633
99	57	391403
100	57	77818
101	57	226530
102	59	71601
103	60	381151
104	61	524134
105	62	34810
106	63	509617
107	64	391619
108	65	580624
109	65	109203
110	66	397608
111	66	540395
112	66	405412
113	67	370815
114	67	294864
115	67	18792
116	67	511571
117	68	19183
118	69	378484
119	70	327002
120	71	372052
121	72	549870
122	72	302049
123	74	46680
124	75	297965
125	76	375357
126	77	551315
127	78	152407
128	80	252473
129	81	451207
130	82	500708
131	83	534277
132	85	431230
133	86	71569
134	87	357938
135	87	537593
136	88	415946
137	89	413229
138	89	590102
139	89	268026
140	89	248624
141	89	508754
142	89	64556
143	90	31793
144	91	523431
145	92	465787
146	93	292748
147	94	245447
148	95	586355
149	96	328863
150	97	578529
151	97	77352
152	98	575929
153	98	527522
154	99	474248
155	99	193081
156	99	341413
157	99	136662
158	99	153679
159	102	494264
160	102	187073
161	104	575869
162	104	523158
163	105	41356
164	105	107564
165	106	76695
166	107	276408
167	107	269646
168	108	396982
169	109	73427
170	110	520386
171	110	220063
172	110	410128
173	110	459119
174	110	482165
175	110	397152
176	111	46092
177	112	153541
178	439	202630
179	440	34087
180	442	92144
181	442	355592
182	443	194955
183	444	573518
184	444	175824
185	444	483282
186	444	479203
187	445	178942
188	446	450371
189	446	89506
190	447	297588
191	447	357079
192	448	378437
193	448	269987
194	449	130118
195	449	366146
196	449	526383
197	450	159709
198	450	347590
199	451	449096
200	452	467704
201	453	592926
202	454	144927
203	454	295980
204	454	110387
205	454	201183
206	456	146995
207	456	168382
208	457	59686
209	457	276411
210	458	263485
211	458	218858
212	460	591357
213	460	556021
214	460	555097
215	461	237392
216	461	159156
217	461	101329
218	461	239459
219	461	502203
220	462	447167
221	462	393152
222	464	167494
223	465	446553
224	466	217218
225	467	344340
226	468	498927
227	468	536760
228	469	250939
229	469	549432
230	470	45078
231	471	158122
232	471	494625
233	472	337071
234	473	466037
235	474	430901
236	475	366761
237	478	306280
238	478	525967
239	478	574948
240	479	541705
241	479	59819
242	480	331248
243	481	229990
244	481	523415
245	481	23221
246	481	219977
247	481	13013
248	481	248361
249	481	305097
250	482	349502
251	483	240843
252	483	436165
253	483	377571
254	484	129307
255	484	360764
256	484	337083
257	484	258576
258	485	584521
259	485	445731
260	485	216540
261	486	244641
262	486	393204
263	486	286017
264	486	343196
265	487	399115
266	488	56803
267	488	420672
268	489	287019
269	490	281500
270	491	459740
271	491	184445
272	491	218967
273	491	152298
274	491	135219
275	492	253735
276	492	571786
277	493	269447
278	493	155634
279	494	324911
280	497	66356
281	497	70452
282	498	333954
283	498	227757
284	498	113776
285	499	346444
286	499	482332
287	499	316490
288	499	347637
289	500	165645
290	501	482464
291	502	498631
292	502	549435
293	502	181678
294	503	367641
295	504	500755
296	504	344203
297	504	498751
298	505	154014
299	506	368008
300	506	285997
301	506	30959
302	506	431754
303	507	70156
304	507	119104
305	507	182758
306	508	362778
307	508	157233
308	508	580817
309	508	138065
310	509	377152
311	510	117145
312	510	591809
313	511	556661
314	512	362069
315	513	591694
316	513	405206
317	513	434788
318	515	372909
319	517	587220
320	518	48840
321	518	596549
322	518	261856
323	518	86852
324	520	322171
325	521	129503
326	522	237785
327	523	338348
328	524	279149
329	524	439003
330	524	21325
331	524	395499
332	524	406340
333	525	399409
334	526	491553
335	527	437877
336	528	562957
337	529	510701
338	530	393483
339	531	460721
340	532	409230
341	533	123756
342	535	87113
343	536	493160
344	537	304034
345	538	503362
346	538	556233
347	538	371304
348	538	20943
349	539	25019
350	540	324921
351	540	274188
352	541	533825
353	542	390435
354	543	504419
355	544	177908
356	544	177137
357	544	380071
358	545	512914
359	545	566553
360	545	454089
361	545	12560
362	545	534870
363	545	565453
364	545	57286
365	545	467594
366	545	555608
367	545	499269
368	545	91012
369	545	374372
370	545	101046
371	546	457701
372	547	6349
373	547	278629
374	548	577554
375	549	214024
376	550	417133
377	550	73032
378	550	463449
379	551	47450
380	552	35093
381	552	305117
382	553	444273
383	554	6343
384	554	142876
385	555	101748
386	556	327078
387	557	454931
388	558	341220
389	558	295624
390	559	246459
391	562	193367
392	563	104572
393	564	360629
394	565	485898
395	566	378465
396	566	257303
397	567	395907
398	567	187790
399	567	424468
400	567	494666
401	568	171988
402	569	339553
403	570	363591
404	571	66034
405	571	259227
406	572	434351
407	573	243855
408	573	425817
409	574	78328
410	574	60082
411	575	540671
412	575	319836
413	576	97708
414	576	489827
415	577	303685
416	578	105103
417	578	74589
418	578	180065
419	579	143677
420	579	190606
421	581	595981
422	581	161162
423	581	587154
424	582	290687
425	583	116213
426	585	140226
427	585	552375
428	586	56405
429	586	7170
430	587	153443
431	587	131926
432	587	393361
433	587	112711
434	588	570546
435	588	203710
436	589	333616
437	590	163865
438	591	375423
439	591	385221
440	591	319965
441	592	108052
442	592	89503
443	593	419479
444	594	377322
445	594	534059
446	595	368165
447	596	460175
448	597	449387
449	598	97348
450	600	472470
451	601	490176
452	602	355369
453	603	456440
454	604	451443
455	604	231947
456	604	261622
457	605	244856
458	606	201546
459	606	300749
460	606	153520
461	606	106265
462	606	399199
463	607	205556
464	608	7066
465	608	169008
466	608	236972
467	609	539511
468	609	119857
469	610	478781
470	612	362060
471	613	379866
472	613	550420
473	614	172306
474	615	204288
475	616	546299
476	617	409822
477	618	296809
478	619	61798
479	620	331332
480	620	417301
481	620	189303
482	620	180673
483	620	487067
484	621	37183
485	622	179756
486	622	369239
487	623	5224
488	624	131703
489	625	427808
490	625	388613
491	625	360946
492	625	275768
493	625	158006
494	626	339463
495	627	340661
496	628	3463
497	628	75965
498	628	577768
499	629	271772
500	630	444172
501	630	39724
502	630	226201
503	631	77618
504	632	568501
505	633	385929
506	634	374258
507	635	344928
508	637	181697
509	637	162684
510	637	156326
511	638	192366
512	639	78117
513	639	391841
514	640	100655
515	642	180696
516	642	493963
517	642	383889
518	642	539320
519	643	407540
520	643	73891
521	644	140977
522	644	201954
523	644	47957
524	645	137171
525	646	587689
526	646	307505
527	646	115553
528	646	196939
529	646	13217
530	648	513367
531	649	350365
532	651	275199
533	651	258077
534	651	533354
535	651	565909
536	652	55901
537	653	220682
538	653	429555
539	654	327903
540	655	575918
541	655	535234
542	658	589123
543	658	192332
544	659	13139
545	659	230908
546	659	584685
547	659	439467
548	659	264297
549	659	235925
550	659	168796
551	659	120279
552	659	365240
553	659	449079
554	661	422770
555	662	24308
556	663	411542
557	663	346793
558	664	435405
559	665	56506
560	666	483704
561	667	510913
562	668	148589
563	669	183500
564	670	55200
565	671	148208
566	671	277482
567	671	213373
568	672	40966
569	672	563025
570	673	487778
571	675	539317
572	676	353159
573	677	79552
574	678	135073
575	679	324331
576	680	152027
577	682	582191
578	683	546329
579	684	441120
580	685	453839
581	686	325865
582	687	146021
583	687	268992
584	689	411044
585	690	57486
586	691	395912
587	692	224688
588	693	518406
589	693	319729
590	693	136073
591	693	210789
592	693	535947
593	693	148194
594	694	248269
595	695	399848
596	696	112987
597	696	90572
598	697	166467
599	698	17661
600	698	30220
601	699	107092
602	700	278718
603	700	354234
604	701	288537
605	701	339488
606	701	389446
607	702	414454
608	702	31863
609	703	114418
610	704	208216
611	705	319234
612	706	583269
613	707	102266
614	708	128861
615	708	513362
616	708	338439
617	709	173986
618	711	588197
619	711	464619
620	711	360816
621	711	102857
622	711	472739
623	711	342018
624	712	212810
625	712	580479
626	712	527433
627	712	28356
628	712	97582
629	712	129965
630	712	273307
631	712	101358
632	714	597679
633	714	463328
634	715	579763
635	715	546538
636	715	187404
637	716	477434
638	718	285185
639	718	280204
640	719	349445
641	720	140567
642	721	496225
643	722	170933
644	722	370542
645	722	349348
646	722	515233
647	723	261016
648	723	561123
649	723	114643
650	724	178874
651	724	532839
652	724	289064
653	725	89941
654	725	55598
655	725	430005
656	726	228083
657	727	29617
658	728	224259
659	728	97295
660	729	16670
661	729	121462
662	730	11311
663	730	575527
664	730	129473
665	730	587187
666	731	521411
667	731	569455
668	732	341508
669	732	447967
670	733	202776
671	734	77990
672	735	284121
673	736	396056
674	738	341119
675	738	424439
676	739	589957
677	739	20019
678	740	185999
679	741	190537
680	742	398044
681	742	124341
682	743	80742
683	743	82119
684	744	490443
685	744	566480
686	744	78176
687	745	191965
688	746	240066
689	747	319058
690	747	172997
691	747	571902
692	749	220853
693	750	419768
694	750	33602
695	751	298685
696	752	394472
697	752	289620
698	752	365558
699	752	280611
700	752	231202
701	752	273998
702	752	265747
703	752	250198
704	753	466718
705	753	243503
706	754	43967
707	754	580213
708	755	56642
709	757	298179
710	758	360440
711	758	63569
712	759	107136
713	760	203155
714	761	134941
715	762	131483
716	762	71338
717	763	32385
718	763	260045
719	764	200210
720	765	385301
721	766	2996
722	766	387218
723	766	550172
724	767	590080
725	768	102698
726	769	413722
727	769	149258
728	770	266672
729	770	522040
730	770	444747
731	771	431438
732	771	558579
733	772	426713
734	773	157712
735	776	467044
736	776	583640
737	776	597247
738	776	124027
739	776	592680
740	776	10440
741	776	127263
742	776	332373
743	776	220127
744	776	597880
745	776	496899
746	776	591516
747	777	15070
748	778	234510
749	781	163348
750	781	40967
751	782	400497
752	782	353909
753	783	204554
754	784	229436
755	784	237760
756	784	203446
757	784	297841
758	784	334603
759	784	389516
760	785	474974
761	786	491523
762	786	160931
763	786	486669
764	786	448948
765	786	63844
766	786	50970
767	786	329789
768	787	347151
769	787	559553
770	788	125827
771	788	469383
772	788	519353
773	788	52445
774	789	147358
775	790	199808
776	791	521070
777	792	482932
778	792	206267
779	792	502748
780	792	283490
781	792	201447
782	792	143844
783	792	453074
784	793	460608
785	793	580561
786	793	83238
787	793	19224
788	794	427338
789	794	242439
790	795	121832
791	796	46791
792	797	89281
793	798	487196
794	799	594280
795	800	482199
796	802	323898
797	803	287858
798	803	31242
799	804	48401
800	805	454184
801	806	559363
802	806	557607
803	807	277815
804	808	54147
805	808	93185
806	809	35530
807	809	22412
808	810	30596
809	811	244853
810	811	377409
811	812	326129
812	812	229913
813	813	106501
814	813	436701
815	814	373413
816	814	458047
817	815	23047
818	816	596289
819	818	358175
820	819	589484
821	820	589692
822	821	44398
823	822	298424
824	823	497567
825	825	162501
826	825	470062
827	825	586944
828	825	368242
829	825	500903
830	826	546190
831	827	570131
832	828	210678
833	829	491295
834	829	308049
835	830	141111
836	831	27283
837	831	209789
838	832	255519
839	833	42157
840	834	390733
841	834	122112
842	835	469497
843	836	106145
844	836	88770
845	837	307701
846	837	306874
847	838	322838
848	839	10591
849	839	335626
850	839	573767
851	839	567500
852	840	195447
853	842	454584
854	844	498198
855	844	64666
856	845	239617
857	845	372223
858	845	190929
859	845	556545
860	845	506306
861	845	251667
862	847	348787
863	849	557186
864	850	218823
865	851	297241
866	852	245702
867	852	531288
868	852	431735
869	853	260795
870	853	147080
871	854	125981
872	854	582185
873	854	170147
874	854	448431
875	857	196321
876	857	393314
877	858	146632
878	858	45185
879	858	122485
880	858	278450
881	859	449630
882	859	18749
883	860	77670
884	861	573935
885	861	280356
886	861	348927
887	861	429106
888	864	472924
889	864	30142
890	864	211364
891	864	24890
892	864	566337
893	864	152072
894	865	444749
895	866	195637
896	867	8570
897	867	305954
898	868	408724
899	869	124856
900	870	385932
901	871	477716
902	871	135932
903	871	166863
904	871	371579
905	872	524879
906	873	311028
907	874	128752
908	874	581345
909	875	505473
910	876	176104
911	876	53352
912	877	336468
913	878	554141
914	879	366830
915	881	87987
916	882	236122
917	883	65040
918	884	59023
919	884	103970
920	885	337165
921	885	409184
922	886	220887
923	887	68190
924	888	93205
925	892	177528
926	892	102375
927	893	492401
928	893	144563
929	894	263591
930	895	416268
931	896	422436
932	896	164392
933	898	382838
934	899	148288
935	899	73505
936	899	397679
937	899	408043
938	900	432116
939	900	169978
940	900	190941
941	901	141235
942	902	458431
943	903	208124
944	904	415514
945	905	464385
946	905	233702
947	905	442425
948	906	513248
949	907	556219
950	907	403663
951	908	599336
952	909	417981
953	910	327232
954	911	539958
955	912	363655
956	913	571062
